exposures	POPULATION	PANEL	ASSAY	GENE
EUROPEAN_CMET_CCL14_CCL14	EUROPEAN	CMET	CCL14	CCL14
EUROPEAN_CMET_CRTAC1_CRTAC1	EUROPEAN	CMET	CRTAC1	CRTAC1
EUROPEAN_CMET_F7_F7	EUROPEAN	CMET	F7	F7
EUROPEAN_CMET_FAP_FAP	EUROPEAN	CMET	FAP	FAP
EUROPEAN_CMET_ICAM3_ICAM3	EUROPEAN	CMET	ICAM3	ICAM3
EUROPEAN_CMET_LYVE1_LYVE1	EUROPEAN	CMET	LYVE1	LYVE1
EUROPEAN_CMET_MET_MET	EUROPEAN	CMET	MET	MET
EUROPEAN_CMET_NOTCH1_NOTCH1	EUROPEAN	CMET	NOTCH1	NOTCH1
EUROPEAN_CMET_NRP1_NRP1	EUROPEAN	CMET	NRP1	NRP1
EUROPEAN_CMET_PAM_PAM	EUROPEAN	CMET	PAM	PAM
EUROPEAN_CMET_PTPRS_PTPRS	EUROPEAN	CMET	PTPRS	PTPRS
EUROPEAN_CMET_QPCT_QPCT	EUROPEAN	CMET	QPCT	QPCT
EUROPEAN_CMET_SERPINA5_SERPINA5	EUROPEAN	CMET	SERPINA5	SERPINA5
EUROPEAN_CMET_SPARCL1_SPARCL1	EUROPEAN	CMET	SPARCL1	SPARCL1
EUROPEAN_CMET_TCN2_TCN2	EUROPEAN	CMET	TCN2	TCN2
EUROPEAN_CMET_TIE1_TIE1	EUROPEAN	CMET	TIE1	TIE1
EUROPEAN_CREG_VEGFD_VEGFD	EUROPEAN	CREG	VEGFD	VEGFD
EUROPEAN_CVDII_GDF.2_GDF2	EUROPEAN	CVDII	GDF.2	GDF2
EUROPEAN_NEURO_ROBO2_ROBO2	EUROPEAN	NEURO	ROBO2	ROBO2
EUROPEAN_ONCIII_HSPB6_HSPB6	EUROPEAN	ONCIII	HSPB6	HSPB6
EUROPEAN_CREG_BCL2L11_BCL2L11	EUROPEAN	CREG	BCL2L11	BCL2L11
EUROPEAN_CREG_HS3ST3B1_HS3ST3B1	EUROPEAN	CREG	HS3ST3B1	HS3ST3B1
EUROPEAN_CVDII_BMP.6_BMP6	EUROPEAN	CVDII	BMP.6	BMP6
EUROPEAN_INF_IL13_IL13	EUROPEAN	INF	IL13	IL13
EUROPEAN_INF_X4E.BP1_EIF4EBP1	EUROPEAN	INF	X4E.BP1	EIF4EBP1
EUROPEAN_NEUR_EXP_FCAR_FCAR	EUROPEAN	NEUR_EXP	FCAR	FCAR
EUROPEAN_NEUR_EXP_IFNL1_IFNL1	EUROPEAN	NEUR_EXP	IFNL1	IFNL1
EUROPEAN_ONC_ADAM.TS.15_ADAMTS15	EUROPEAN	ONC	ADAM.TS.15	ADAMTS15
EUROPEAN_ONCIII_FOXO3_FOXO3	EUROPEAN	ONCIII	FOXO3	FOXO3
EUROPEAN_ONCIII_MANSC1_MANSC1	EUROPEAN	ONCIII	MANSC1	MANSC1
EUROPEAN_ONCIII_PTP4A1_PTP4A1	EUROPEAN	ONCIII	PTP4A1	PTP4A1
EUROPEAN_ORG_TNNI3_TNNI3	EUROPEAN	ORG	TNNI3	TNNI3
EUROPEAN_ORG_TOP2B_TOP2B	EUROPEAN	ORG	TOP2B	TOP2B
